fips,mean_internet_access,mFIPS,district,locality,ed,population,objectid
40803108,NA,4103108,4,08,3108,177,264
40803111,NA,4103111,4,08,3111,14,241
40803113,NA,4103113,4,08,3113,157,256
40804108,NA,4104108,4,08,4108,75,265
40805108,NA,4105108,4,08,5108,112,266
40900105,NA,4100105,4,09,105,561,236
40900106,NA,4100106,4,09,106,662,226
40900107,NA,4100107,4,09,107,367,225
40900108,NA,4100108,4,09,108,208,237
40901105,NA,4101105,4,09,1105,447,235
40901106,NA,4101106,4,09,1106,673,227
40901107,NA,4101107,4,09,1107,419,224
40901108,NA,4101108,4,09,1108,263,234
40902105,NA,4102105,4,09,2105,462,238
40902106,NA,4102106,4,09,2106,634,229
40902107,NA,4102107,4,09,2107,200,230
40902108,NA,4102108,4,09,2108,290,233
40903105,NA,4103105,4,09,3105,263,232
40903106,NA,4103106,4,09,3106,435,228
40903108,NA,4103108,4,09,3108,365,231
41200301,NA,4200301,4,12,301,156,170
41200302,NA,4200302,4,12,302,454,162
41200303,NA,4200303,4,12,303,535,190
41200304,NA,4200304,4,12,304,361,217
41200305,NA,4200305,4,12,305,108,163
41200306,NA,4200306,4,12,306,754,150
41200307,NA,4200307,4,12,307,1228,164
41200308,NA,4200308,4,12,308,669,156
41200309,NA,4200309,4,12,309,623,171
41200312,NA,4200312,4,12,312,16,172
41200313,NA,4200313,4,12,313,961,184
41200314,NA,4200314,4,12,314,127,157
41200315,NA,4200315,4,12,315,173,160
41200316,NA,4200316,4,12,316,201,213
41200317,NA,4200317,4,12,317,875,218
41200318,NA,4200318,4,12,318,682,212
41200815,NA,4200815,4,12,815,448,206
41200816,NA,4200816,4,12,816,191,152
41200817,NA,4200817,4,12,817,212,197
41200818,NA,4200818,4,12,818,320,202
41200865,NA,4200865,4,12,865,209,201
41201302,NA,4201302,4,12,1302,376,214
41201303,NA,4201303,4,12,1303,1046,161
41201304,NA,4201304,4,12,1304,429,155
41201305,NA,4201305,4,12,1305,183,153
41201306,NA,4201306,4,12,1306,518,149
41201307,NA,4201307,4,12,1307,508,166
41201313,NA,4201313,4,12,1313,32,181
41201314,NA,4201314,4,12,1314,123,183
41201315,NA,4201315,4,12,1315,361,200
41201316,NA,4201316,4,12,1316,521,173
41201317,NA,4201317,4,12,1317,1183,159
41201318,NA,4201318,4,12,1318,576,179
41201815,NA,4201815,4,12,1815,1079,168
41201816,NA,4201816,4,12,1816,294,219
41201817,NA,4201817,4,12,1817,160,195
41201865,NA,4201865,4,12,1865,194,176
